year,fertilizer_code,dry_matter,actual_yield,temperature,precipitation,solar_radiation,predicted_yield
2009,N2(P)KMg,21.1,8.51,286.65361451791,447.14112894050777,15957279.029411765,8.464062
2009,N3(P)KMg,21.2,8.25,286.65361451791,447.14112894050777,15957279.029411765,8.30467
2009,N4(P)KMg,21.1,8.34,286.65361451791,447.14112894050777,15957279.029411765,8.377444
2009,N4,17.3,0.94,286.65361451791,447.14112894050777,15957279.029411765,1.3588133
2009,N4PMg,19.7,5.19,286.65361451791,447.14112894050777,15957279.029411765,5.13441
2009,N1+3+1(P)KMg,20.9,8.56,286.65361451791,447.14112894050777,15957279.029411765,8.555722
2009,N4PK,21.2,8.89,286.65361451791,447.14112894050777,15957279.029411765,8.8466835
2009,N4PK*(Mg*),22.0,8.76,286.65361451791,447.14112894050777,15957279.029411765,9.042011
2009,N5(P)KMg,20.4,7.82,286.65361451791,447.14112894050777,15957279.029411765,7.9593215
2009,N6(P)KMg,19.1,7.4,286.65361451791,447.14112894050777,15957279.029411765,6.4872923
2009,N1+4+1 PKMg,21.2,8.18,286.65361451791,447.14112894050777,15957279.029411765,8.164506
2009,N1+2+1 PKMg,20.4,8.45,286.65361451791,447.14112894050777,15957279.029411765,8.359641
2009,N1+1+1 KMg,19.5,3.49,286.65361451791,447.14112894050777,15957279.029411765,3.4583235
2011,(FYM) N4 ,19.4,8.67,286.20084136763427,454.2710796818137,15700914.392156864,8.83319
2011,FYM N3,18.6,9.26,286.20084136763427,454.2710796818137,15700914.392156864,9.282101
2011,FYM,24.9,11.95,286.20084136763427,454.2710796818137,15700914.392156864,11.742873
2011,Nil,18.6,1.49,286.20084136763427,454.2710796818137,15700914.392156864,1.261318
2011,(P)KMg,18.4,2.86,286.20084136763427,454.2710796818137,15700914.392156864,2.5722797
2011,N1(P)KMg,20.6,5.05,286.20084136763427,454.2710796818137,15700914.392156864,5.6222897
2011,N2(P)KMg,20.1,7.9,286.20084136763427,454.2710796818137,15700914.392156864,7.875729
2011,N3(P)KMg,16.8,5.27,286.20084136763427,454.2710796818137,15700914.392156864,5.2791123
2011,N4(P)KMg,17.6,5.83,286.20084136763427,454.2710796818137,15700914.392156864,5.7708225
2011,N4,17.1,1.09,286.20084136763427,454.2710796818137,15700914.392156864,1.0120659
2011,N4PMg,17.5,3.88,286.20084136763427,454.2710796818137,15700914.392156864,3.8668134
2011,N1+3+1(P)KMg,19.1,7.32,286.20084136763427,454.2710796818137,15700914.392156864,7.3155403
2011,N4PK,19.2,7.2,286.20084136763427,454.2710796818137,15700914.392156864,6.5786514
2011,N4PK*(Mg*),18.2,7.01,286.20084136763427,454.2710796818137,15700914.392156864,7.0403986
2011,N5(P)KMg,18.4,5.63,286.20084136763427,454.2710796818137,15700914.392156864,5.664135
2011,N6(P)KMg,16.8,4.33,286.20084136763427,454.2710796818137,15700914.392156864,4.4678235
2011,N1+4+1 PKMg,17.3,5.19,286.20084136763427,454.2710796818137,15700914.392156864,5.2978535
2011,N1+2+1 PKMg,18.8,5.88,286.20084136763427,454.2710796818137,15700914.392156864,5.978674
